排名,名字,导演,主演,年份,地区,评分,简介
30,天堂电影院,朱塞佩·托纳多雷,安东娜拉·塔莉,1988,意大利 法国,9.1,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
31,鬼子来了,姜文,姜文,2000,中国大陆,9.2,对敌人的仁慈，就是对自己残忍。
32,十二怒汉,Sidney,亨利·方达,1957,美国,9.4,1957年的理想主义。 
33,控方证人,比利·怀尔德,泰隆·鲍华,1957,美国,9.6,比利·怀德满分作品。
34,指环王3：王者无敌,彼得·杰克逊,维果·莫腾森,2003,美国 新西兰,9.1,史诗的终章。
35,天空之城,宫崎骏,田中真弓,1986,日本,9.1,对天空的追逐，永不停止。 
36,搏击俱乐部,大卫·芬奇,爱德华·诺顿,1999,美国 德国,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
37,飞屋环游记,彼特·道格特,爱德...,2009,美国,8.9,最后那些最无聊的事情，才是最值得怀念的。 
38,大话西游之月光宝盒,刘镇伟,周星驰,1995,香港 中国大陆,8.9,旷古烁今。
39,摔跤吧！爸爸,涅提·蒂瓦里,阿米尔·汗,2016,印度,9.1,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
40,罗马假日,威廉·惠勒,奥黛丽·赫本,1953,美国,9.0,爱情哪怕只有一天。
41,哈尔的移动城堡,宫崎骏,倍赏千惠子,2004,日本,9.0,带着心爱的人在天空飞翔。
42,窃听风暴,弗洛里安·亨克尔·冯·多纳斯马,匿名,2006,德国,9.1,别样人生。
43,闻香识女人,马丁·布莱斯,阿尔·帕西诺,1992,美国,9.0,史上最美的探戈。
44,辩护人,杨宇硕,宋康昊,2013,韩国,9.2,电影的现实意义大过电影本身。
45,两杆大烟枪,Guy,Jason,1998,英国,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
46,飞越疯人院,米洛斯·福尔曼,杰克·尼科尔森,1975,美国,9.1,自由万岁。
47,死亡诗社,彼得·威尔,罗宾·威廉姆斯,1989,美国,9.0,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
48,V字仇杀队,詹姆斯·麦克特格,娜塔莉·波特曼,2005,美国 英国 德国,8.8,一张面具背后的理想与革命。
49,指环王2：双塔奇兵,彼得·杰克逊,伊利亚·伍德,2002,美国 新西兰,9.0,承前启后的史诗篇章。
50,教父2,弗朗西斯·福特·科波拉,阿尔·帕西诺,1974,美国,9.1,优雅的孤独。
51,海豚湾,Louie,John,2009,美国,9.3,海豚的微笑，是世界上最高明的伪装。
52,指环王1：魔戒再现,彼得·杰克逊,伊利亚·伍德,2001,新西兰 美国,8.9,传说的开始。
53,素媛,李濬益,薛景求,2013,韩国,9.2,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
54,末代皇帝,贝纳尔多·贝托鲁奇,尊龙,1987,英国 意大利 中国大陆 法国 美国,9.1,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
