排名,名字,导演,主演,年份,地区,评分,简介
215,疯狂的石头,宁浩,郭涛,2006,中国大陆 香港,8.3,中国版《两杆大烟枪》。
216,爱在午夜降临前,理查德·林克莱特,伊桑·霍克,2013,美国,8.8,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
217,城市之光,Charles,查理·卓别林,1931,美国,9.3,永远的小人物，伟大的卓别林。
218,无耻混蛋,Quentin,布拉德·皮特,2009,美国 德国,8.5,昆汀同学越来越变态了，比北野武还杜琪峰。
219,绿里奇迹,Frank,汤姆·汉克斯,1999,美国,8.7,天使暂时离开。
220,末路狂花,雷德利·斯科特,吉娜·戴维斯,1991,美国 法国,8.7,没有了退路，只好飞向自由。
221,这个男人来自地球,理查德·沙因克曼,大卫·李·史密斯,2007,美国,8.5,科幻真正的魅力不是视觉效果能取代的。 
222,E.T. 外星人,Steven,Henry,1982,美国,8.5,生病的E.T.皮肤的颜色就像柿子饼。
223,彗星来的那一夜,詹姆斯·沃德·布柯特,艾米丽·芭尔多尼,2013,美国 英国,8.5,小成本大魅力。
224,勇闯夺命岛,迈克尔·贝,肖恩·康纳利,1996,美国,8.6,类型片的极致。 
225,秒速5厘米,新海诚,水桥研二,2007,日本,8.3,青春就是放弃和怀念。
226,变脸,吴宇森,约翰·特拉沃尔塔,1997,美国,8.4,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
227,血钻,爱德华·兹威克,莱昂纳多·迪卡普里奥,2006,美国 德国,8.6,每个美丽事物背后都是滴血的现实。
228,聚焦,托马斯·麦卡锡,马克·鲁弗洛,2015,美国,8.8,新闻人的理性求真。
229,黄金三镖客,Sergio,Clint,1966,意大利 西班牙 西德,9.1,最棒的西部片。
230,发条橙,Stanley,Malcolm,1971,英国 美国,8.5,我完全康复了。
231,天书奇谭,王树忱,丁建华,1983,2019(中国大陆重映),9.1,传奇的年代，醉人的童话。
232,卡萨布兰卡,Michael,亨弗莱·鲍嘉,1942,美国,8.6,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。
233,非常嫌疑犯,布莱恩·辛格,史蒂芬·鲍德温,1995,德国 美国,8.6,我不信仰上帝，但我敬畏上帝。
234,碧海蓝天,Luc,让-马克·巴尔,1988,法国 美国 意大利,8.7,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
235,国王的演讲,汤姆·霍珀,柯林·菲尔斯,2010,英国 澳大利亚 美国,8.3,皇上无话儿。
236,美国丽人,萨姆·门德斯,凯文·史派西,1999,美国,8.5,每个人的内心都是深不可测的大海。 
237,海蒂和爷爷,阿兰·葛斯彭纳,阿努克·斯特芬,2015,德国 瑞士 南非,9.1,
238,黑鹰坠落,雷德利·斯科特,乔什·哈奈特,2001,美国,8.6,还原真实而残酷的战争。
239,我爱你,秋昌民,宋在河,2011,韩国,9.0,你要相信，这世上真的有爱存在，不管在什么年纪 
240,千钧一发,安德鲁·尼科尔,伊桑·霍克,1997,美国,8.7,一部能引人思考的科幻励志片。
241,2001太空漫游,斯坦利·库布里克,凯尔·杜拉,1968,英国 美国,8.7,现代科幻电影的开山之作，最伟大导演的最伟大影片。
242,海盗电台,理查德·柯蒂斯,比尔·奈伊,2009,英国 德国 法国,8.6,生命不止，摇滚不死。
243,遗愿清单,罗伯·莱纳,杰克·尼科尔森,2007,美国,8.5,用剩余不多的时间，去燃烧整个生命。
244,荒野生存,西恩·潘,埃米尔·赫斯基,2007,美国,8.6,出门必备：本草纲目。
245,英国病人,安东尼·明格拉,拉尔夫·费因斯,1996,美国 英国,8.5,"In memory, love lives forever..."
246,荒岛余生,罗伯特·泽米吉斯,汤姆·汉克斯,2000,美国,8.5,一个人的独角戏。
247,勇士,加文·欧康诺,汤姆·哈迪,2011,美国,8.9,热血沸腾，相当完美的娱乐拳击大餐。
248,枪火,杜琪峰,吴镇宇,1999,香港,8.7,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。
249,迁徙的鸟,雅克·贝汉,匿名,2001,法国 德国 意大利 西班牙 瑞士,9.1,最美的飞翔。
250,攻壳机动队,押井守,田中敦子,1995,日本,8.9,上承《银翼杀手》，下启《黑客帝国》。
